"Position","Job Title","Company","Location","Salary","Short Description","Posted At","Job link"
11,"Data Scientist","Long Beach City College","Long Beach, CA 90808 
(Lakewood Village area)","$106,779 - $145,487 a year","Develops an understanding of opportunities, constraints, and problems from stakeholders' and constructs and executes analytics work plans.",,"https://www.indeed.com/rc/clk?jk=d8685d06c869999f&bb=XXPpoFVwJuShmV2H6BQMP_wPwxNggtgrEkMQYtxOYMqMlhSY71KvtWaB7E_SFanTmnPmZtRzYb89WJlO-8UjU-o6LqOVJXANhUpxSxHsPIS8BG3kcMnzJWWEEhVwxNu0&xkcb=SoDy67M39QgEpPw2050BbzkdCdPP&fccid=df74e677a6aface9&vjs=3"
12,"Data Scientist","National Space Defense Center (NSDC)","Colorado Springs, CO 80906 
(Southwest Colorado Springs area)","$89,128 - $137,784 a year","Knowledge of data science techniques and technologies for statistical analysis, visualization, and machine learning.
Develop data policy and governance.",,"https://www.indeed.com/rc/clk?jk=c93a5b5e6a21fa97&bb=XXPpoFVwJuShmV2H6BQMPz5ScxDu-faGg8nNJ-vB9eDHj98gf9L9jPSBLMzD8IJmeHKVtdbsFZdUIPEVjYjrhA6QGSCv5oOutB3k8CZlz3X9YX9HpgY3Us8RJWiizABD&xkcb=SoBG67M39QgEpPw2050AbzkdCdPP&fccid=1529cdb154c83f90&cmp=United-States-Space-Command&ti=Data+Scientist&vjs=3"
13,"Systems Engineer","Patelco Credit Union","Dublin, CA 94568","$115,764 - $120,000 a year","Patelco Credit Union is a not-for-profit credit union with a purpose to build financial health and wellbeing for our members.",,"https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D-xS4Sy9TnlfI1cdM-zzNdsPoAc9-QPgCXFDA_qNolh9U_S-vityo1zhZnlZlIgycQc5qVi7e5Dtov-NblEkLBi6PvshJRHbB2av0Jmr2gL8j-sIWfNh2cdvBN0WmwKuY8XGODNJ7p7dO0G8E_wxf-wqC1umdzKl8IWqDManmavnmKpM_ZiL-oZ2Z2Op22rc4OyBps5X5QGo-0U48mZ0hbzJMIWb2tmqDgrLmkwipTCp2WW2K12tkg_HMl0NEACjbjC6uzCE-80_6P9zi0JxUxetKA4oAGZoPbyH91ao6W6Ur5vHHbc1Enb1Fvp89tk9mELfZrqrEtljIJD1VfrdinIUBK6gLan75yGdzlJAcdWVqfhvJSzLRKxMy8OBNXp1JykHj7GILBB-37LuUni7QaNJQDKAyC_IoxzVbuKax0T7SjfkDxhTmVZEeVZYbTogI02dggSykND1-EQBl2opmp35pSrwkIQEnwx8HBU5ILAsFwzmfLgxj5gVvA6gSAk5cE-6LzI8w53kIiqBJQ1FfyuiK--tA7YNLYNKkajuAXi1U93biWF_S6QV-owt5HI_keMzLGivSv-fT46DseXBzvr7kzkgufdpgT1oDo3fNYPESXvDTXIjCQmaksFahRMpwQx3UKWsRFsLxa8XbN0Mr-eZJpysxJrc14ApwySCXUCvrK66memufnQwNWcrhA8aCV2DNOk-Rn0OGCE-JNvB-WNJSLoZsFRnq766KAYaOPfhdmGCSGf4MepF7boX9AXRXK90MeZeago3_dz2fg-D6lpb_S04NKpH6RD3OG-vcF1zHGS0KNgnBe17N4NZEdgJ_Hae7bSNiPo7c8sIgsLIeCuS1KDQb2lpsMWpSEoakS-V-OLjr7swjowLwRG2DFSW0sMCvTOKtnLX60zpbRUfFe9RAIciHLbkH3cx7rDUgt6YBMG2f5SEagbvdmIcKHRRAp_2_Ah02qLHrjMAPCkM7iMfD8nW04y3rPAX5cz95-NXmUwR4CF914Ch6gKE2JKcBCN2KIFrYEMQ==&xkcb=SoA86_M39QgEpPw2050HbzkdCdPP&camk=YU1lDJX-4XElP3ky6-9PIA==&p=12&fvj=0&vjs=3"
14,"Senior Data Scientist","Amazee Global Ventures Inc","Dallas, TX",,"Skilled in creating clear, data-driven presentations and reports suitable for both technical and non-technical stakeholders.
PAY RATE- 55 to 60$/ HOUR ON W2*.","Employer
Active 4 days ago","https://www.indeed.com/rc/clk?jk=1d185434ecff33f2&bb=XXPpoFVwJuShmV2H6BQMPwH3XF1qN_x_TyonUI9n6D9pR1yF5jzULE0lDly0JUzULmZrwzNxBgZn0QbgGskItZLR-TjAsQWsgGpKeEwNIBTI8xjPxqOsfjZ_dIyzqF93&xkcb=SoB867M39QgEpPw2050GbzkdCdPP&fccid=054e81f1e5e894b9&cmp=Amazee-Global-Ventures&ti=Senior+Data+Scientist&vjs=3"
15,"Scientist, Data Science Analytics & Insights","Johnson & Johnson","Titusville, NJ",,"Demonstrate emerging scientific and technological developments to generate new research ideas, solutions and initiatives using RWD including but not limited to…",,"https://www.indeed.com/rc/clk?jk=e1714afb1b42bfbc&bb=XXPpoFVwJuShmV2H6BQMP9LJxrE5xjdn1QWExCkQ1JvnaC2j5COwtRkvmxcXCyhed_plPRuTb-Nuxb4YsqJctOxDlHLmxSIsczfmrI4vkmruwuVDLs07g1UGFlOtOpSr&xkcb=SoDh67M39QgEpPw2050FbzkdCdPP&fccid=0bed8e17bc113980&vjs=3"
16,"DATA SCIENTIST","TriHealth","Cincinnati, OH",,"Analyze and model structured as well as semi structured data and implement algorithms to support analysis using statistical methods from statistics, machine…",,"https://www.indeed.com/rc/clk?jk=ba77d2dbf2ce3af1&bb=sxOnV6pfw48jKWs4G3DltQNCRYyauek-pXTJPprXhAKKJHb9iWNfZg3EobAIk4lWDPoDxgkj3YaoJvDlqDfbUCl4YqzwxfWN-Y0RDhxLoDViiK7WCZRAo34DPWRNXFQy&xkcb=SoDy67M39QgD5lw36J0LbzkdCdPP&fccid=ad532ca170730fd4&vjs=3"
17,"Data Scientist","Northwestern Medicine","Chicago, IL 60611 
(Streeterville area)",,"The data engineers/scientists use their broad knowledge of applied mathematics and statistics to create new algorithms to interpret, manipulate, and derive…",,"https://www.indeed.com/rc/clk?jk=8cb757bd03153632&bb=sxOnV6pfw48jKWs4G3DltX4IOzq7zGdxYKP6uaIu15kKVUs8v1KOy4Pn_TalaIMrBhSSPdchlg6ODVADRemnMkAZXsVQucHNpcYWzENRn_F24i4-ZLf6EbMaw1rFPZH5&xkcb=SoBG67M39QgD5lw36J0KbzkdCdPP&fccid=388ffa8e9601f976&vjs=3"
18,"Data Scientist","Johnson & Johnson","Titusville, NJ",,"In this role you will be someone who stays on the cutting edge of artificial intelligence, data science, and advanced analytics research through novel project…",,"https://www.indeed.com/rc/clk?jk=baaa822d0fc6f3d4&bb=sxOnV6pfw48jKWs4G3DltbYdiV2RxdBD_wVVMIP5V4YK6DPAxav7mFyBoCNw3Nc3I_IZyCZMiUkHOLaXbb4U_WWJ-5xFQ4q3RSRf8DHNjmHVyS-D56GKhU2PF9RcJxHo&xkcb=SoDb67M39QgD5lw36J0JbzkdCdPP&fccid=0bed8e17bc113980&vjs=3"
19,"Data Scientist (contract)","JnJ","Raritan, NJ",,"This role will provide support for the manufacturing science and technology team supporting a new clinical/commercial manufacturing site.",,"https://www.indeed.com/rc/clk?jk=98ba48d52b95be58&bb=sxOnV6pfw48jKWs4G3DltStSdpqO3LKAkTu5e11VuXxu8PusLLf5CuZA3yHATlWAWEpboHYpw4YXgaX8q28fDT_uWN17fCG8CiTtn4kP63yQJBllf11v_JSRUFhodSnJ&xkcb=SoBv67M39QgD5lw36J0IbzkdCdPP&fccid=0bed8e17bc113980&vjs=3"
20,"Data Scientist I","Kandu Health","Hybrid work in Campbell, CA 95008",,"Collaborate closely with research and clinical collaborator team to understand the data and the insights it brings.
Quality of life directly impacts health.",,"https://www.indeed.com/rc/clk?jk=795023c034e63796&bb=sxOnV6pfw48jKWs4G3Dltc2i6_HO4rXhygnuMDjqx3n1IlsUwA49RCxn0mCSqj3PeuINW9KQHS4Yk_iV-GFAfjJG02p2rd-NfuE3qZRIGUYmEgStWcmAl7L5bHMC6E5S&xkcb=SoDh67M39QgD5lw36J0PbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3"
