Position,Job Title,Company,Salary,Job link,Job Profile,City,State
11,Data Scientist,Long Beach City College,106000.0,https://www.indeed.com/rc/clk?jk=d8685d06c869999f&bb=XXPpoFVwJuShmV2H6BQMP_wPwxNggtgrEkMQYtxOYMqMlhSY71KvtWaB7E_SFanTmnPmZtRzYb89WJlO-8UjU-o6LqOVJXANhUpxSxHsPIS8BG3kcMnzJWWEEhVwxNu0&xkcb=SoDy67M39QgEpPw2050BbzkdCdPP&fccid=df74e677a6aface9&vjs=3,Data Scientist,Long Beach,CA
12,Data Scientist,National Space Defense Center (NSDC),89000.0,https://www.indeed.com/rc/clk?jk=c93a5b5e6a21fa97&bb=XXPpoFVwJuShmV2H6BQMPz5ScxDu-faGg8nNJ-vB9eDHj98gf9L9jPSBLMzD8IJmeHKVtdbsFZdUIPEVjYjrhA6QGSCv5oOutB3k8CZlz3X9YX9HpgY3Us8RJWiizABD&xkcb=SoBG67M39QgEpPw2050AbzkdCdPP&fccid=1529cdb154c83f90&cmp=United-States-Space-Command&ti=Data+Scientist&vjs=3,Data Scientist,Colorado Springs,CO
13,Systems Engineer,Patelco Credit Union,0.0,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D-xS4Sy9TnlfI1cdM-zzNdsPoAc9-QPgCXFDA_qNolh9U_S-vityo1zhZnlZlIgycQc5qVi7e5Dtov-NblEkLBi6PvshJRHbB2av0Jmr2gL8j-sIWfNh2cdvBN0WmwKuY8XGODNJ7p7dO0G8E_wxf-wqC1umdzKl8IWqDManmavnmKpM_ZiL-oZ2Z2Op22rc4OyBps5X5QGo-0U48mZ0hbzJMIWb2tmqDgrLmkwipTCp2WW2K12tkg_HMl0NEACjbjC6uzCE-80_6P9zi0JxUxetKA4oAGZoPbyH91ao6W6Ur5vHHbc1Enb1Fvp89tk9mELfZrqrEtljIJD1VfrdinIUBK6gLan75yGdzlJAcdWVqfhvJSzLRKxMy8OBNXp1JykHj7GILBB-37LuUni7QaNJQDKAyC_IoxzVbuKax0T7SjfkDxhTmVZEeVZYbTogI02dggSykND1-EQBl2opmp35pSrwkIQEnwx8HBU5ILAsFwzmfLgxj5gVvA6gSAk5cE-6LzI8w53kIiqBJQ1FfyuiK--tA7YNLYNKkajuAXi1U93biWF_S6QV-owt5HI_keMzLGivSv-fT46DseXBzvr7kzkgufdpgT1oDo3fNYPESXvDTXIjCQmaksFahRMpwQx3UKWsRFsLxa8XbN0Mr-eZJpysxJrc14ApwySCXUCvrK66memufnQwNWcrhA8aCV2DNOk-Rn0OGCE-JNvB-WNJSLoZsFRnq766KAYaOPfhdmGCSGf4MepF7boX9AXRXK90MeZeago3_dz2fg-D6lpb_S04NKpH6RD3OG-vcF1zHGS0KNgnBe17N4NZEdgJ_Hae7bSNiPo7c8sIgsLIeCuS1KDQb2lpsMWpSEoakS-V-OLjr7swjowLwRG2DFSW0sMCvTOKtnLX60zpbRUfFe9RAIciHLbkH3cx7rDUgt6YBMG2f5SEagbvdmIcKHRRAp_2_Ah02qLHrjMAPCkM7iMfD8nW04y3rPAX5cz95-NXmUwR4CF914Ch6gKE2JKcBCN2KIFrYEMQ==&xkcb=SoA86_M39QgEpPw2050HbzkdCdPP&camk=YU1lDJX-4XElP3ky6-9PIA==&p=12&fvj=0&vjs=3,Data Engineer,Dublin,CA
14,Senior Data Scientist,Amazee Global Ventures Inc,70000.0,https://www.indeed.com/rc/clk?jk=1d185434ecff33f2&bb=XXPpoFVwJuShmV2H6BQMPwH3XF1qN_x_TyonUI9n6D9pR1yF5jzULE0lDly0JUzULmZrwzNxBgZn0QbgGskItZLR-TjAsQWsgGpKeEwNIBTI8xjPxqOsfjZ_dIyzqF93&xkcb=SoB867M39QgEpPw2050GbzkdCdPP&fccid=054e81f1e5e894b9&cmp=Amazee-Global-Ventures&ti=Senior+Data+Scientist&vjs=3,Data Scientist,Dallas,TX
15,"Scientist, Data Science Analytics & Insights",Johnson & Johnson,70000.0,https://www.indeed.com/rc/clk?jk=e1714afb1b42bfbc&bb=XXPpoFVwJuShmV2H6BQMP9LJxrE5xjdn1QWExCkQ1JvnaC2j5COwtRkvmxcXCyhed_plPRuTb-Nuxb4YsqJctOxDlHLmxSIsczfmrI4vkmruwuVDLs07g1UGFlOtOpSr&xkcb=SoDh67M39QgEpPw2050FbzkdCdPP&fccid=0bed8e17bc113980&vjs=3,Data Scientist,Titusville,NJ
16,DATA SCIENTIST,TriHealth,70000.0,https://www.indeed.com/rc/clk?jk=ba77d2dbf2ce3af1&bb=sxOnV6pfw48jKWs4G3DltQNCRYyauek-pXTJPprXhAKKJHb9iWNfZg3EobAIk4lWDPoDxgkj3YaoJvDlqDfbUCl4YqzwxfWN-Y0RDhxLoDViiK7WCZRAo34DPWRNXFQy&xkcb=SoDy67M39QgD5lw36J0LbzkdCdPP&fccid=ad532ca170730fd4&vjs=3,Data Scientist,Cincinnati,OH
17,Data Scientist,Northwestern Medicine,70000.0,https://www.indeed.com/rc/clk?jk=8cb757bd03153632&bb=sxOnV6pfw48jKWs4G3DltX4IOzq7zGdxYKP6uaIu15kKVUs8v1KOy4Pn_TalaIMrBhSSPdchlg6ODVADRemnMkAZXsVQucHNpcYWzENRn_F24i4-ZLf6EbMaw1rFPZH5&xkcb=SoBG67M39QgD5lw36J0KbzkdCdPP&fccid=388ffa8e9601f976&vjs=3,Data Scientist,Chicago,IL
18,Data Scientist,Johnson & Johnson,70000.0,https://www.indeed.com/rc/clk?jk=baaa822d0fc6f3d4&bb=sxOnV6pfw48jKWs4G3DltbYdiV2RxdBD_wVVMIP5V4YK6DPAxav7mFyBoCNw3Nc3I_IZyCZMiUkHOLaXbb4U_WWJ-5xFQ4q3RSRf8DHNjmHVyS-D56GKhU2PF9RcJxHo&xkcb=SoDb67M39QgD5lw36J0JbzkdCdPP&fccid=0bed8e17bc113980&vjs=3,Data Scientist,Titusville,NJ
19,Data Scientist (contract),JnJ,70000.0,https://www.indeed.com/rc/clk?jk=98ba48d52b95be58&bb=sxOnV6pfw48jKWs4G3DltStSdpqO3LKAkTu5e11VuXxu8PusLLf5CuZA3yHATlWAWEpboHYpw4YXgaX8q28fDT_uWN17fCG8CiTtn4kP63yQJBllf11v_JSRUFhodSnJ&xkcb=SoBv67M39QgD5lw36J0IbzkdCdPP&fccid=0bed8e17bc113980&vjs=3,Data Scientist,Raritan,NJ
20,Data Scientist I,Kandu Health,70000.0,https://www.indeed.com/rc/clk?jk=795023c034e63796&bb=sxOnV6pfw48jKWs4G3Dltc2i6_HO4rXhygnuMDjqx3n1IlsUwA49RCxn0mCSqj3PeuINW9KQHS4Yk_iV-GFAfjJG02p2rd-NfuE3qZRIGUYmEgStWcmAl7L5bHMC6E5S&xkcb=SoDh67M39QgD5lw36J0PbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,Data Scientist,Hybrid work in Campbell,CA
21,Data Scientist- Load Forecasting,Xcel Energy,0.0,https://www.indeed.com/rc/clk?jk=1fd06b5568c4e627&bb=sxOnV6pfw48jKWs4G3DltfxxHTwA_jRswOkKUGZ-qR3riav1UAtPPznUEhF_KGDaZJgE0DoufcuOMMeVgYERRPMxzwPHrvdwRWq28BrulQ2Q4grm69bFEQ%3D%3D&xkcb=SoBV67M39QgD5lw36J0ObzkdCdPP&fccid=0b3490f8005058ec&vjs=3,Data Scientist,Denver,CO
22,Clinical Data Scientist,IQVIA,70000.0,https://www.indeed.com/rc/clk?jk=e45e0ec028e3dbb7&bb=sxOnV6pfw48jKWs4G3DltV8qbZ2BcKQiNhYLwHW99SI4wE6IgbLKZIeZo3l2Lc3sfjno6Eqaggn-_Txu7ffGDH_Sdjg92OV8Eo63yTEfryNwoW8odBBxgI2_-PtRlIfI&xkcb=SoDI67M39QgD5lw36J0NbzkdCdPP&fccid=6b7a1dfe07e7f037&vjs=3,Data Scientist,,
23,Data Scientist,Cognizant,0.0,https://www.indeed.com/rc/clk?jk=7f6039ca6056e06f&bb=sxOnV6pfw48jKWs4G3DlteKoMmTLZaHd2eaEYz2Va2Tk1aCgGoOnvgwNsloADyEFTiixVnIx-2TGpMmmBuF8mvxWUMa7p6QQgiE24oVY6szGh0QB6QDGCV705X_7kMa4&xkcb=SoB867M39QgD5lw36J0MbzkdCdPP&fccid=2df6a1e69a70a1e7&vjs=3,Data Scientist,,
24,Data Scientist,Adobe,107000.0,https://www.indeed.com/rc/clk?jk=de30cfd486351197&bb=sxOnV6pfw48jKWs4G3DltbY2B2v8_xDN5zuyHXE6edHbpXQjRFRsvFiCKnwTzgF5WtmFxarnlt8RWM1xBb0hABKs4pj4LqVDRNK8sFbWI61XRmbCa4FJGw%3D%3D&xkcb=SoCV67M39QgD5lw36J0DbzkdCdPP&fccid=f89deb5a97c7738a&vjs=3,Data Scientist,Seattle,WA
25,Lead Data Scientist,Amazee Global Ventures Inc,70000.0,https://www.indeed.com/rc/clk?jk=42b1e50a43ad32a8&bb=sxOnV6pfw48jKWs4G3DlteaE7Kde2jBJ1zFpFKk4MYgRQZ9cQRADgQvEXggA-zddXRt0cN6GJ299IrRT996igCHa_JZucCCg4yN3fhC20d_AvrsENWltLJ4LbP5CdMWY&xkcb=SoAh67M39QgD5lw36J0CbzkdCdPP&fccid=054e81f1e5e894b9&cmp=Amazee-Global-Ventures&ti=Lead+Data+Scientist&vjs=3,Data Scientist,Atlanta,GA
26,Associate Data Scientist,The Standard,70000.0,https://www.indeed.com/rc/clk?jk=0ac4e7a84594b55e&bb=sxOnV6pfw48jKWs4G3DltU3LrPk30zMFL6N6Cd7K23W2Q-G9Nz4Xe0iQbU6A60UphXbkbkvS8JPBG-gBJLLtefChYts3ba8wr9lQGoTsuHBu1GWEYhU_r4uxBmREyblu&xkcb=SoC867M39QgD5lw36J0BbzkdCdPP&fccid=987bded2d477dc2b&vjs=3,Data Scientist,Remote in Portland,OR
27,Data Scientist,General Motors,70000.0,https://www.indeed.com/rc/clk?jk=760ca80f13aa2b7a&bb=sxOnV6pfw48jKWs4G3DltR-xRjrogK7EA_n9ZkLCVZrGLgg_YScEkPW5fDKzcbRD8fNU-djzYlRDpzK0a1AxYXBPOY_JNMsyQWvkRiCJy5ZHBxflg37Yyg%3D%3D&xkcb=SoAI67M39QgD5lw36J0AbzkdCdPP&fccid=116680a29a847a70&vjs=3,Data Scientist,Warren,MI
28,Sr Data Scientist,HCSC,88000.0,https://www.indeed.com/rc/clk?jk=6a49398e0a744901&bb=sxOnV6pfw48jKWs4G3DltQIB60x93aWoN_4M2lrgrLOR8pqKLVaecxfpd-lkx53WmsVY1J_hPny17CBnRGjtxmWUQ7ob_rtGcVoL05l_DcT1IkNnXdu_OQ%3D%3D&xkcb=SoCG67M39QgD5lw36J0HbzkdCdPP&fccid=f0982fe98d8ebba0&vjs=3,Data Scientist,Hybrid work in Chicago,IL
29,"Associate Data Scientist, RWE Clinical Trials Remote",WALGREENS,70000.0,https://www.indeed.com/rc/clk?jk=0535c1945f4f3dc7&bb=sxOnV6pfw48jKWs4G3DltSyhUYWtjTQN5_vxBJggvcOm2gWsI4ub_9WAmsKwgELrYEEDm5_G-z_QUVeDdFW04ROeLE9XkvAr36AWgUPS6tVRjby9wK77sA%3D%3D&xkcb=SoAy67M39QgD5lw36J0GbzkdCdPP&fccid=fefd75f5326e1589&vjs=3,Data Scientist,Remote in Deerfield,IL
30,Data Scientist,Magna International Inc.,70000.0,https://www.indeed.com/rc/clk?jk=56856db72f096be6&bb=sxOnV6pfw48jKWs4G3DltVHXP9Fn_n-hkY7_FGKEc-J84-pWCuMUSHvd1U2FSOMMnoEmlS-jgiRGogPNM8fJQ1Yfl7EgCXZOOxLwKHdunvXYr3xokN_uk-lmRNtaGGsi&xkcb=SoCv67M39QgD5lw36J0FbzkdCdPP&fccid=254ad00cf333484f&vjs=3,Data Scientist,Troy,MI
31,Data Scientist,IT Consulting Services,70000.0,https://www.indeed.com/rc/clk?jk=6b3a737907d0d935&bb=Ta2QNd0XKIzG4SAT2jzt0XLkMnUBrZY3erBj7z0DIX5g6h-5u23_iHuwuSwRXv_Vy5ShLgCk8Z-PZd60lwVO8vTx3X1MOfSdH7raRTKUZ898q9S4EzRX2Yz_48-Gw-VF&xkcb=SoA367M39QgDA8yRTx0LbzkdCdPP&fccid=bb0f3a7bae7542f8&vjs=3,Data Scientist,,
32,Senior Data Scientist,The J. M. Smucker Company,70000.0,https://www.indeed.com/rc/clk?jk=4a678c8482f876d0&bb=Ta2QNd0XKIzG4SAT2jzt0UA1PFppLLvqNyY3YOJgyrA0bWnRknuOStURWtNJTclIUi_EpuBFZiQ-2DIKKi0TLaWA1WCVeWgaz6di8PLQ8QHmSY10YFEqlw%3D%3D&xkcb=SoCD67M39QgDA8yRTx0KbzkdCdPP&fccid=a21694cd29ba9002&vjs=3,Data Scientist,,
33,Data Scientist - P3,Boston Scientific Corporation,70000.0,https://www.indeed.com/rc/clk?jk=cfc70407998f556c&bb=Ta2QNd0XKIzG4SAT2jzt0SlqnLtqNet1rAylI1BanOFxhdZwW82T1H0W1XXjuCFLe2PC-dDXy-3ow--a8HzpcYjSOAMRuRSHk55C-rdGvuKGBCIRVc7xeA%3D%3D&xkcb=SoAe67M39QgDA8yRTx0JbzkdCdPP&fccid=d13187a50c252e33&vjs=3,Data Scientist,Hybrid work in Marlborough,MA
34,Data Scientist,Stanford University,70000.0,https://www.indeed.com/rc/clk?jk=0559c5621f19d231&bb=Ta2QNd0XKIzG4SAT2jzt0ZcuAbssyKXp_3d6KsFWk5R1Ep2C5PrzNgSouSbwAVgjNjpaMLVXkhY1Fr63K-WkGYfGSCAhwAVK4FQ1h531YaGBpo9FspFCvg%3D%3D&xkcb=SoCq67M39QgDA8yRTx0IbzkdCdPP&fccid=1ba7f338730ce720&vjs=3,Data Scientist,Remote in Stanford,CA
35,Data Scientist - Remote India,LeewayHertz,70000.0,https://www.indeed.com/rc/clk?jk=6d4080ae02023d87&bb=Ta2QNd0XKIzG4SAT2jzt0ZKHo8vyh8atdGZ1dKAmUexNLU2o3kQxxklk28XqcAyKZJsPTD2kwoVMyzhQ1Hqz6SW_JvRBL6nzrpjoO59atzimG65tWErNQERxGn2_TPFS&xkcb=SoAk67M39QgDA8yRTx0PbzkdCdPP&fccid=67c1c701fe4bb3db&vjs=3,Data Scientist,Remote in San Francisco,CA
36,Sr. Data Scientist,Alight,0.0,https://www.indeed.com/rc/clk?jk=314d66517764780a&bb=Ta2QNd0XKIzG4SAT2jzt0U9yv9NMUbHJGWYeQ4V2jwNRQFBuLs1SCUMwNpomLQiU3UbElwfjr2rMCqD7q1XT-jDinp6noNzweF9Ohb7qIWsVwleDmnVl3kyO9-OIMa4E&xkcb=SoCQ67M39QgDA8yRTx0ObzkdCdPP&fccid=c35833abe06c86e0&vjs=3,Data Scientist,Remote in Chicago,IL
37,Data Engineer,Greystones Consulting Group LLC,0.0,https://www.indeed.com/rc/clk?jk=d31a1401fc105fae&bb=Ta2QNd0XKIzG4SAT2jzt0VMaxJC9qJY-2Pl03_5Irkoigi5ut2LJuC01k9gC_sLegDx1Gn4DldYzOUo00ZHT_QjslWTy95KTJCG7uaFZFwQnQizIjvfhOD8MQut7FAG8&xkcb=SoAN67M39QgDA8yRTx0NbzkdCdPP&fccid=c217704cc373c1dc&vjs=3,Data Engineer,Washington,DC
38,Data Scientist,Michelin,70000.0,https://www.indeed.com/rc/clk?jk=12ec91f1ad3083f8&bb=Ta2QNd0XKIzG4SAT2jzt0SG_zKgb1g0m_jvEpSMD1yAo6VEnYz5Z7U_FztDb2aW6hk_FyFAr8B3NhHosb44P5B8_xu1ZnYKKgYhlq8sSRwzA61LjudujlZt2FqUZ0mJu&xkcb=SoC567M39QgDA8yRTx0MbzkdCdPP&fccid=8a90a0ee1d8ff04d&vjs=3,Data Scientist,Woodburn,IN
39,Data Scientist,State of Ohio Jobs,70000.0,https://www.indeed.com/rc/clk?jk=08353e0615c43f48&bb=Ta2QNd0XKIzG4SAT2jzt0XPlH523KMc5LymuPvCyQqwgD_gWMCixkTCmP7IpQXwSVRN8R-D7Z6Q2MS610VlwQMMCH05H0mOuK9SNOJPlQRH9Wg3r4R9zk2nycJhaKBwy&xkcb=SoBQ67M39QgDA8yRTx0DbzkdCdPP&fccid=adab04218ef837d0&vjs=3,Data Scientist,Columbus,OH
40,Sr. Data Scientist,Hach,70000.0,https://www.indeed.com/rc/clk?jk=0cba648cfda7088e&bb=Ta2QNd0XKIzG4SAT2jzt0dVTzsKaL3Lc5gtiYhPuOQTEvAmNIANQsAwrer1EmtSSbaZ2zeX62HbcIH4KDKQiTjlztQWxibJBLBSHkESN-w40debdi0QNjMvbDglLfhFI&xkcb=SoDk67M39QgDA8yRTx0CbzkdCdPP&fccid=7211d6a9510d11db&vjs=3,Data Scientist,Loveland,CO
41,DATA SCIENTIST ASSOCIATE,University of Alabama at Birmingham,70000.0,https://www.indeed.com/rc/clk?jk=da9dd5b6dad3ca48&bb=Ta2QNd0XKIzG4SAT2jzt0S-5ciMKZBhB5pA8IIvnj8bCNfdGozarRJw_n4YQXesHUdtGX-nxWMKHMOPBDvl7GXfyoGIri0UdKT7M9ersNPV_-AZAlN0_nw%3D%3D&xkcb=SoB567M39QgDA8yRTx0BbzkdCdPP&fccid=61b32dc36af3abe6&vjs=3,Data Scientist,Birmingham,AL
